beta,ci_lo,ci_hi,rel
-119.5611439082507,-452.9387749710035,213.816487154502,-4
-348.646380607664,-678.0751143608131,-19.21764685451484,-3
-23.38340746724505,-299.7062426920057,252.9394277575156,-2
-50.74238193674212,-304.68982468542,203.2050608119358,0
207.8753233818675,-77.36539152390202,493.116038287637,1
6.737910721930189,-318.6162208716731,332.0920423155335,2
-883.0309525939252,-1248.690098919106,-517.3718062687444,3
-194.80183014673,-574.8617030617227,185.2580427682628,4
148.3686328385412,-261.4559028789623,558.1931685560446,5
