treat_quake,period,employed,wage,lnwage,y_private,y_public,y_self,sd_wage,sd_lnwage,N
Control,Post,.80839974,16133.39214016304,9.372602220760028,.60017705,.11419298,.094029702,11867.76182880443,.9958441691993133,20334
Control,Pre,.81712359,14277.33301938623,9.186106519786707,.61821389,.11050184,.088407889,11244.81153992818,1.114276202580358,31185
Molise,Post,.81016886,16691.84037454018,9.403179904436852,.57635689,.1230922,.11071977,12117.34120751284,1.029715519580696,11073
Molise,Pre,.82488859,14754.47888525522,9.227616743650367,.60250998,.11599813,.10638048,11117.03145623325,1.126817249312063,17052
