beta,ci_lo,ci_hi,rel
-119.561143908605,-452.9387749713615,213.8164871541515,-4
-348.6463806080163,-678.0751143611678,-19.21764685486488,-3
-23.38340746771225,-299.7062426924791,252.9394277570546,-2
-50.74238193693197,-304.689824685645,203.2050608117811,0
207.8753233816106,-77.36539152419914,493.1160382874203,1
6.737910721809438,-318.6162208718337,332.0920423154526,2
-883.0309525944535,-1248.690098919652,-517.3718062692551,3
-194.8018301468672,-574.861703061896,185.2580427681617,4
148.3686328382472,-261.4559028792831,558.1931685557774,5
