beta,ci_lo,ci_hi,rel
-.0073250565050567,-.0627802658322993,.0481301528221858,-4
-.049063786012843,-.0988901894132503,.0007626173875644,-3
-.0210161418370335,-.0642359512235067,.0222036675494397,-2
-.0159098725917325,-.0537252665839984,.0219055214005334,0
.0009052702180275,-.0392521932923639,.0410627337284189,1
-.0466546772061422,-.0904554032364835,-.002853951175801,2
-.0460291904282084,-.0881431817828235,-.0039151990735932,3
-.0196097151584195,-.0632963658888445,.0240769355720054,4
.0088070838213218,-.0350476660533895,.052661833696033,5
